participant_key,adaptive,true_r,hmc_r_mean,absolute_error,squared_error
adaptive-01,True,0.32149435265188675,2.3435771,2.0220827938782646,4.088818825298528
adaptive-02,True,1.4499176988108018,4.7033696,3.2534519186513564,10.584949386976191
adaptive-03,True,1.7701670928633153,3.7674434,1.9972763256394923,3.9891127209599913
adaptive-04,True,1.3908519577948186,4.0185423,2.627690331939068,6.90475648056605
adaptive-05,True,0.9925659478822474,3.8955872,2.9030212580045935,8.427532424426573
adaptive-06,True,1.6080018637548779,4.509352,2.90135034342896,8.417833815315342
adaptive-07,True,1.634301812337708,4.125832,2.4915302685033565,6.2077230788684075
adaptive-08,True,0.9916158020916062,3.4531775,2.4615616499957964,6.059285756730028
adaptive-09,True,0.9823403161312908,3.4337769,2.4514365393374593,6.009541106398819
adaptive-10,True,1.7518127082365749,4.220711,2.4688985229951146,6.095459916847458
adaptive-11,True,0.269517570634829,2.5034168,2.2338992060222753,4.990305662666952
adaptive-12,True,0.3735647566914368,2.52422,2.1506552330851747,4.625317931596647
adaptive-13,True,1.8220801658084986,4.2112923,2.3892121010372045,5.708334463742613
adaptive-14,True,2.830124540176865,5.9141736,3.0840490628809962,9.51135862225715
adaptive-15,True,1.5194810799628462,3.874778,2.3552969523400105,5.547423733702142
adaptive-16,True,1.1756695515091944,4.3640924,3.188422798496909,10.166039941974862
adaptive-17,True,1.026736001868216,4.0198016,2.9930656148004853,8.958441774501006
adaptive-18,True,1.3656024745200406,3.603907,2.238304633786844,5.010007633631659
adaptive-19,True,0.8180282148572611,3.3873184,2.5692901578691796,6.6012519153234335
adaptive-20,True,2.504446732560944,4.4225683,1.9181215886670833,3.6791904289107356
adaptive-21,True,0.6814216157545272,4.033182,3.351760528410512,11.234298639810714
adaptive-22,True,2.314180644573856,5.8672833,3.553102699694943,12.624538794579491
adaptive-23,True,2.9896785941111386,4.257382,1.267703321935004,1.6070717124450444
adaptive-24,True,1.0165292980300913,4.1250186,3.1084892986190784,9.66270571962933
adaptive-25,True,0.6257963466440815,3.0192082,2.3934118461812357,5.728420265440671
adaptive-26,True,1.1403289826366294,3.031809,1.8914801089313638,3.5776970024830037
adaptive-27,True,0.7820478399136279,4.087491,3.305443195547798,10.925954718993237
adaptive-28,True,0.9028533130333944,3.8560443,2.953190979416557,8.721336960907323
adaptive-29,True,2.723182157988675,4.94102,2.2178378539131804,4.918804746250222
adaptive-30,True,1.1658310867572377,3.2066114,2.0407803081249645,4.164784266030625
random-01,False,0.32149435265188675,0.62003875,0.29854439513558884,0.0891287558668746
random-02,False,1.4499176988108018,4.172057,2.722139452983632,7.410043201490026
random-03,False,1.7701670928633153,5.201994,3.431826849397427,11.777435524245071
random-04,False,1.3908519577948186,1.8620403,0.47118832350095774,0.2220184362036432
random-05,False,0.9925659478822474,1.3770182,0.38445226538984734,0.1478035443633856
random-06,False,1.6080018637548779,3.0550802,1.4470783116449024,2.0940356400330615
random-07,False,1.634301812337708,3.1898036,1.5555017879735713,2.419585812388977
random-08,False,0.9916158020916062,2.1697793,1.178163498598091,1.3880692294288943
random-09,False,0.9823403161312908,1.0603042,0.0779638487551838,0.0060783617127211755
random-10,False,1.7518127082365749,5.538124,3.7863113762360814,14.336153837814768
random-11,False,0.269517570634829,1.4846735,1.2151559294262062,1.476603932819667
random-12,False,0.3735647566914368,1.871816,1.4982512823939513,2.2447569051951195
random-13,False,1.8220801658084986,3.6090267,1.786946504647434,3.1931778104716817
random-14,False,2.830124540176865,5.013281,2.1831563283534083,4.766171554029535
random-15,False,1.5194810799628462,3.5604987,2.0410176344841755,4.16575298427538
random-16,False,1.1756695515091944,2.5763159,1.400646328312583,1.9618101370155199
random-17,False,1.026736001868216,1.0989912,0.07225515375617375,0.005220807244328309
random-18,False,1.3656024745200406,4.1130557,2.7474532315041293,7.548499259302483
random-19,False,0.8180282148572611,1.9653815,1.1473532882479025,1.3164195680532744
random-20,False,2.504446732560944,4.4992046,1.994757903059173,3.9790590918170294
random-21,False,0.6814216157545272,2.4557748,1.7743531683336076,3.1483291659755115
random-22,False,2.314180644573856,4.660314,2.3461334385255093,5.50434211136753
random-23,False,2.9896785941111386,5.029221,2.039542463780707,4.159733461564677
random-24,False,1.0165292980300913,2.6978025,1.6812732456100454,2.8266797264041363
random-25,False,0.6257963466440815,1.2310163,0.6052199316228253,0.3662911656335373
random-26,False,1.1403289826366294,3.549347,2.409017941191496,5.803367440982513
random-27,False,0.7820478399136279,1.3358827,0.5538348238131787,0.3067330120681747
random-28,False,0.9028533130333944,2.8656,1.9627467960669474,3.852374985471067
random-29,False,2.723182157988675,4.6888385,1.9656563239144011,3.863804783744677
random-30,False,1.1658310867572377,3.9455025,2.7796714328503063,7.726573274604075
